"filename", "language", "JSON", "XML", "Java", "comment", "blank", "total"
"e:\Android Project's\ChatVista\app\google-services.json", "JSON", 48, 0, 0, 0, 0, 48
"e:\Android Project's\ChatVista\app\src\androidTest\java\com\gojiyajayesh\chatvista\ExampleInstrumentedTest.java", "Java", 0, 0, 15, 6, 5, 26
"e:\Android Project's\ChatVista\app\src\main\AndroidManifest.xml", "XML", 0, 82, 0, 1, 8, 91
"e:\Android Project's\ChatVista\app\src\main\java\com\gojiyajayesh\chatvista\ForgotPasswordActivity.java", "Java", 0, 0, 81, 1, 13, 95
"e:\Android Project's\ChatVista\app\src\main\java\com\gojiyajayesh\chatvista\IndividualChatActivity.java", "Java", 0, 0, 174, 3, 19, 196
"e:\Android Project's\ChatVista\app\src\main\java\com\gojiyajayesh\chatvista\MainActivity.java", "Java", 0, 0, 88, 1, 14, 103
"e:\Android Project's\ChatVista\app\src\main\java\com\gojiyajayesh\chatvista\OtpVerifyActivity.java", "Java", 0, 0, 174, 12, 24, 210
"e:\Android Project's\ChatVista\app\src\main\java\com\gojiyajayesh\chatvista\PhoneLogInActivity.java", "Java", 0, 0, 38, 7, 12, 57
"e:\Android Project's\ChatVista\app\src\main\java\com\gojiyajayesh\chatvista\SearchUserActivity.java", "Java", 0, 0, 102, 0, 19, 121
"e:\Android Project's\ChatVista\app\src\main\java\com\gojiyajayesh\chatvista\SignInActivity.java", "Java", 0, 0, 203, 1, 27, 231
"e:\Android Project's\ChatVista\app\src\main\java\com\gojiyajayesh\chatvista\SignUpActivity.java", "Java", 0, 0, 212, 1, 23, 236
"e:\Android Project's\ChatVista\app\src\main\java\com\gojiyajayesh\chatvista\SplashActivity.java", "Java", 0, 0, 40, 1, 7, 48
"e:\Android Project's\ChatVista\app\src\main\java\com\gojiyajayesh\chatvista\StatusViewActivity.java", "Java", 0, 0, 61, 0, 7, 68
"e:\Android Project's\ChatVista\app\src\main\java\com\gojiyajayesh\chatvista\UserNameActivity.java", "Java", 0, 0, 291, 9, 23, 323
"e:\Android Project's\ChatVista\app\src\main\java\com\gojiyajayesh\chatvista\UserProfileDetailActivity.java", "Java", 0, 0, 56, 0, 6, 62
"e:\Android Project's\ChatVista\app\src\main\java\com\gojiyajayesh\chatvista\adapters\ChatMessageListAdapter.java", "Java", 0, 0, 193, 5, 18, 216
"e:\Android Project's\ChatVista\app\src\main\java\com\gojiyajayesh\chatvista\adapters\MainAdapter.java", "Java", 0, 0, 25, 0, 7, 32
"e:\Android Project's\ChatVista\app\src\main\java\com\gojiyajayesh\chatvista\adapters\StatusListAdapter.java", "Java", 0, 0, 70, 0, 15, 85
"e:\Android Project's\ChatVista\app\src\main\java\com\gojiyajayesh\chatvista\adapters\UserListAdapter.java", "Java", 0, 0, 84, 0, 16, 100
"e:\Android Project's\ChatVista\app\src\main\java\com\gojiyajayesh\chatvista\adapters\UserSearchAdapter.java", "Java", 0, 0, 78, 1, 12, 91
"e:\Android Project's\ChatVista\app\src\main\java\com\gojiyajayesh\chatvista\fragments\CallScreenFragment.java", "Java", 0, 0, 15, 0, 6, 21
"e:\Android Project's\ChatVista\app\src\main\java\com\gojiyajayesh\chatvista\fragments\ChatScreenFragment.java", "Java", 0, 0, 83, 2, 15, 100
"e:\Android Project's\ChatVista\app\src\main\java\com\gojiyajayesh\chatvista\fragments\StatusScreenFragment.java", "Java", 0, 0, 199, 15, 19, 233
"e:\Android Project's\ChatVista\app\src\main\java\com\gojiyajayesh\chatvista\models\MessageModel.java", "Java", 0, 0, 32, 0, 10, 42
"e:\Android Project's\ChatVista\app\src\main\java\com\gojiyajayesh\chatvista\models\UserAvailabilityModel.java", "Java", 0, 0, 19, 0, 7, 26
"e:\Android Project's\ChatVista\app\src\main\java\com\gojiyajayesh\chatvista\models\UserChatMessageModel.java", "Java", 0, 0, 43, 0, 13, 56
"e:\Android Project's\ChatVista\app\src\main\java\com\gojiyajayesh\chatvista\models\UserDetails.java", "Java", 0, 0, 23, 0, 9, 32
"e:\Android Project's\ChatVista\app\src\main\java\com\gojiyajayesh\chatvista\models\Users.java", "Java", 0, 0, 100, 0, 27, 127
"e:\Android Project's\ChatVista\app\src\main\java\com\gojiyajayesh\chatvista\utils\AndroidUtils.java", "Java", 0, 0, 47, 0, 7, 54
"e:\Android Project's\ChatVista\app\src\main\java\com\gojiyajayesh\chatvista\utils\FirebaseUtils.java", "Java", 0, 0, 32, 0, 9, 41
"e:\Android Project's\ChatVista\app\src\main\res\anim\progress_bar_anim.xml", "XML", 0, 9, 0, 0, 1, 10
"e:\Android Project's\ChatVista\app\src\main\res\anim\status_progress_bar.xml", "XML", 0, 9, 0, 0, 0, 9
"e:\Android Project's\ChatVista\app\src\main\res\drawable\arrow_left.xml", "XML", 0, 12, 0, 0, 1, 13
"e:\Android Project's\ChatVista\app\src\main\res\drawable\baseline_android_24.xml", "XML", 0, 6, 0, 0, 1, 7
"e:\Android Project's\ChatVista\app\src\main\res\drawable\btn_background.xml", "XML", 0, 9, 0, 0, 0, 9
"e:\Android Project's\ChatVista\app\src\main\res\drawable\call_24px.xml", "XML", 0, 5, 0, 0, 1, 6
"e:\Android Project's\ChatVista\app\src\main\res\drawable\circle_btn_background.xml", "XML", 0, 10, 0, 0, 0, 10
"e:\Android Project's\ChatVista\app\src\main\res\drawable\country_background.xml", "XML", 0, 10, 0, 0, 0, 10
"e:\Android Project's\ChatVista\app\src\main\res\drawable\custom_toast_background.xml", "XML", 0, 9, 0, 0, 1, 10
"e:\Android Project's\ChatVista\app\src\main\res\drawable\default_profile_icon.xml", "XML", 0, 5, 0, 0, 1, 6
"e:\Android Project's\ChatVista\app\src\main\res\drawable\detail_back.xml", "XML", 0, 10, 0, 0, 0, 10
"e:\Android Project's\ChatVista\app\src\main\res\drawable\facebook.xml", "XML", 0, 12, 0, 0, 1, 13
"e:\Android Project's\ChatVista\app\src\main\res\drawable\google.xml", "XML", 0, 18, 0, 0, 1, 19
"e:\Android Project's\ChatVista\app\src\main\res\drawable\ic_launcher_background.xml", "XML", 0, 170, 0, 0, 1, 171
"e:\Android Project's\ChatVista\app\src\main\res\drawable\ic_launcher_foreground.xml", "XML", 0, 30, 0, 0, 0, 30
"e:\Android Project's\ChatVista\app\src\main\res\drawable\input_background.xml", "XML", 0, 10, 0, 0, 0, 10
"e:\Android Project's\ChatVista\app\src\main\res\drawable\main_logo_2.xml", "XML", 0, 8, 0, 0, 8, 16
"e:\Android Project's\ChatVista\app\src\main\res\drawable\main_logo_3.xml", "XML", 0, 8, 0, 0, 8, 16
"e:\Android Project's\ChatVista\app\src\main\res\drawable\menu_24px.xml", "XML", 0, 9, 0, 0, 1, 10
"e:\Android Project's\ChatVista\app\src\main\res\drawable\message_count_background.xml", "XML", 0, 8, 0, 0, 0, 8
"e:\Android Project's\ChatVista\app\src\main\res\drawable\next_btn_background.xml", "XML", 0, 10, 0, 0, 0, 10
"e:\Android Project's\ChatVista\app\src\main\res\drawable\otp_background.xml", "XML", 0, 6, 0, 0, 0, 6
"e:\Android Project's\ChatVista\app\src\main\res\drawable\phone.xml", "XML", 0, 8, 0, 0, 1, 9
"e:\Android Project's\ChatVista\app\src\main\res\drawable\phone_input_background.xml", "XML", 0, 10, 0, 0, 0, 10
"e:\Android Project's\ChatVista\app\src\main\res\drawable\plus_circle.xml", "XML", 0, 4, 0, 0, 4, 8
"e:\Android Project's\ChatVista\app\src\main\res\drawable\profile_image_background.xml", "XML", 0, 8, 0, 0, 0, 8
"e:\Android Project's\ChatVista\app\src\main\res\drawable\progress_bar_drawable.xml", "XML", 0, 16, 0, 0, 1, 17
"e:\Android Project's\ChatVista\app\src\main\res\drawable\receiver_message_background.xml", "XML", 0, 21, 0, 0, 1, 22
"e:\Android Project's\ChatVista\app\src\main\res\drawable\reject_img.xml", "XML", 0, 4, 0, 0, 4, 8
"e:\Android Project's\ChatVista\app\src\main\res\drawable\search_icon.xml", "XML", 0, 5, 0, 0, 1, 6
"e:\Android Project's\ChatVista\app\src\main\res\drawable\send.xml", "XML", 0, 5, 0, 0, 1, 6
"e:\Android Project's\ChatVista\app\src\main\res\drawable\sender_message_background.xml", "XML", 0, 20, 0, 0, 0, 20
"e:\Android Project's\ChatVista\app\src\main\res\drawable\share_24px.xml", "XML", 0, 3, 0, 0, 3, 6
